Nombre,Puntuacion_IMDB,Puntuacion_Rotten_Tomatoes,Director,Guionistas,Argumento,Duracion
Ivory,"6,7",,Andrew W. Chan,Laurence Gingold,"Ivory centers on a young man's struggle between success versus fulfillment, and chronicles the exploration of an artist: the passion, dedication, and the immovable faith in one's talents. Andreas must train with a Russian piano teacher to win a piano competition.",1h 24min
Lost Everything,"4,5",,Kim St. Leon,Jerry Hamilton BellKim St. Leon,"Brian is a closeted gay movie star who has come to Miami on a publicity tour. Though journalists watch his every move, he starts a fling with the handsome bartender at the hotel. Meanwhile, Brian's manager arranges an ambitious starlet to pose as his girlfriend, a televangelist plots a murder and a local art dealer fends off an abusive ex. Their lives are all on a col... Leer todo",1h 37min
Hearts of Three,,,Dair Karakeev,Dair Karakeev,,
Chike Naija,,,Emmanuel Chike Gabriel,Emmanuel Chike Gabriel,Chike across the Naija almost brought him danger but rewarded him with fortune. Chike Naija as he was then known visited the president and eventually became the youngest President for a short period of time. Never give up.,
As Melhores Coisas do Mundo,"7,2",81%,Laís Bodanzky,Luiz BolognesiGilberto DimensteinHeloisa Prieto,"Mano has to deal with adolescence dilemmas and his family destruction, after his father leaves their house.",1h 40min
Life as We Know It,"6,5",,Greg Berlanti,Ian DeitchmanKristin Rusk Robinson,Dos adultos solteros se convierten en cuidadores de una niña huérfana cuando sus mejores amigos comunes mueren en un accidente.,1h 55min
Spud,"6,6",80%,Donovan Marsh,Donovan MarshJohn Van De Ruit,"It's South Africa 1990. Two major events are about to happen: The release of Nelson Mandela and, more importantly, it's Spud Milton's first year at an elite boys only private boarding school.",1h 43min
Al Nebras,"6,2",,,,The movie tells parts of Imam Ali's life.,
Small Town Saturday Night,"5,3",25%,Ryan Craig,Ryan Craig,"One day in the life of a small US town. Donnie, newly released from jail; Tommy the local cop separated from his wife; Rhett, preparing to leave to try his luck in Nashville. The story weaves these characters' stories.",1h 34min
Bare Knuckles,"3,9",,Eric Etebari,Robert Redlin,Can a determined single mom go the distance and win the tournament that could ultimately lead to a better life for her and her daughter?,1h 30min
Punk's Dead,,,Daniel KlotzekElisabeth von Glahn,Niclas BrinkmannSven JackischDaniel Klotzek,"A teenage punk struggles with love, alcohol, his band, family issues, faith and neo-Nazis.",1h 48min
Je ne vous oublierai jamais,"6,1",,Pascal Kané,Pascal KanéJacques FieschiPhilippe Lamensch,"Marseille, 1941. Despite the war, young Levilé still hopes to save his mother and sisters in Poland and organize their departure for Argentina.",1h 25min
Quincas Berro d'Água,"6,3",,Sergio Machado,Jorge AmadoSergio Machado,Friends of the recently deceased Quincas take their pal's body on one last tour of his favorite spots in Brazil's Bahia.,1h 44min
From the Midst of Pain,"9,3",,Nunzio Fazio,Nunzio FazioLane Bradbury,A documentary which explores the healing effects of creativity within the lives of abused women and at-risk teens.,
The Dead Sleep,"4,5",,Vicki de Mey,James A. McLean,"It could be that, after death, our spirits need to forget this world. Or maybe something in our mortalities is worth fighting for, even worth dying for a second time. In this supernatural thriller, Paul Wells plans to find out. His body has been in a grave for five years while his spirit witnesses the consequences of his transgressions. Driven to save his daughter fro... Leer todo",1h 34min
Troubadours,"3,7",,Dan Albracht,Dan Albracht,,
Jonah Hex,"4,7",12%,Jimmy Hayward,Mark NeveldineBrian TaylorWilliam Farmer,El ejercito de Estados Unidos ofrece a un cazarrecompensas una oferta que no puede rechazar: tiene que detener a un terrorista a cambio de su libertad.,1h 21min
Psychosomatika,"5,6",,Jeff Dylan Graham,Jeff Dylan GrahamDan CasseroleJ.T. Seaton,"A severely traumatized man, suffering from a condition which causes him partial blindness and amnesia, seeks answers to the mystery of what really happened to him.",
Krews,"5,7",,Hilbert Hakim,Joshua LeibnerHilbert Hakim,"A botched car-jacking forces two white-collar criminals to take refuge in the home of the thugs that accosted them. Over the course of one explosive, unpredictable night, worlds collide, fortunes shift, lives are cast aside and the most unsuspecting of heroes walks away with a multimillion dollar score.",1h 45min
10 Years Later,"5,9",43%,Aaron Michael Metchik,Aaron Michael Metchik,"10 Years Later is a dark comedy about six childhood best friends returning home for their ten year high school reunion. When one of them kidnaps an enemy from their past and inadvertently gets the others involved, each must decide whether to turn in a best friend or become accomplices in a dark plot that none of them are sure they can pull off.",1h 38min
Happiness Runs,"4,8",17%,Adam Sherman,Adam Sherman,"A young man named Victor (Mark L. Young) realizes the shortcomings of the Utopian ideals on the hippie commune where he was raised. Victor's mother (Andie MacDowell) is funding the commune where the guru Insley (Rutger Hauer) hypnotizes and seduces women with a technique he calls ""running"". Insley manipulates the minds of these women so that they give him their bodies... Leer todo",1h 28min
Pusher,"6,2",83%,Assad Raja,Jens DahlAssad RajaNicolas Winding Refn,Un traficante de drogas desesperado debe evitar a la policía y encontrar dinero para pagar una enorme deuda.,1h 47min
Lights Out,"6,4",,Gregori J. Martin,Gregori J. Martin,"A couple dealing with some major relationship issues are trapped in an elevator with a perfect, or not so perfect, stranger.",
The Last Musketeer,,,Emre KorkmazArt Zapata,Art Zapata,,
Consent,"5,5",50%,Ron Brown,Ron Brown,"La incapacidad de una familia adinerada de Manhattan para hacer frente al suicidio de su hija mayor los lleva a una espiral descendente de drogas, alcohol y tabúes sexuales que amenaza con destruirlos.",1h 27min
Çiglik Çigliga Bir Sevda,"5,5",,Ülkü Erakalin,Ülkü Erakalin,"The story of a sad artist whose works used to be admired by the public. He locks himself in his house, staying away from other people. His servant won't let anyone break his peace. Until two students write an essay about him and get closer to him.",1h 35min
Shanghai,"6,3",4%,Mikael Håfström,Hossein Amini,A '40s period piece which revolves around an American expat who returns to Shanghai in the months before Pearl Harbor due to the death of his friend.,1h 45min
Orsova Noua 5: Epilog,,,Florin Calin,,,1h 55min
Louis,"7,2",33%,Dan Pritzker,Derick MartiniSteven MartiniDan Pritzker,A silent film about Louis Armstrong as a young boy and how he acquired his first cornet.,1h 30min
Hamill,"6,9",77%,Oren Kaplan,Eben KostbarJoseph McKelheer,"Un drama sobre la mayoría de edad que sigue la vida de Matt Hamill, el primer luchador sordo en ganar un Campeonato Nacional Universitario de Lucha Libre.",1h 48min
The Quiet Ones,"5,4",,Amel J. Figueroa,Amel J. Figueroa,"A young man's rapid descent into madness fueled by memories of a distant past of painful family experiences. Main character Michael Rose believes a normal relationship in the form of a blossoming new love interest may save him from his own demons, only to find that recurring nightmares and memories of the past are too strong for any one love to quiet. {""Hush"" is based... Leer todo",
Forgotten Pills,"7,6",,David Hefner,David Hefner,Four friends meet to take mysterious pills that cause instant amnesia at the stroke of midnight.,1h 19min
Morning,"8,4",,Joe Mitacek,Joe Mitacek,A married couple's descent into alcoholism and infidelity following the accidental death of their child.,1h 26min
Do Elephants Pray?,"4,6",22%,Paul Hills,Jonnie Hurn,"Frustrated by the soulless routine world he is shackled to and dogged by a need to find meaning in everything, the life of advertising executive Callum Cutter is thrown into poetic chaos when he meets the free-spirited French seductress Malika who promises to change his life forever...providing he keeps her identity a secret.",1h 45min
Frenchy,"7,5",,Jean-Claude Van Damme,Jean-Claude Van Damme,"A military veteran and former mercenary named Frenchy is haunted by his childhood, as well as his past in the military.",1h 48min
Broken Sun,"5,7",40%,Brad Haynes,Dacre Timbs,"The film, set in 1944, follows Jack, a WWI veteran, whose lost hopes and values lead to isolation and an empty feeling that is too hard to shake. This solitude abruptly ends when he meets Masaru, an escaped Japanese POW. Suddenly Jack shows the first sign in many years of not giving in to death. Learning of a mass suicide breakout from the POW camp nearby, Jack and ri... Leer todo",1h 33min
Peep World,"5,5",24%,Barry W. Blaustein,Peter Himmelstein,Four siblings implode after the release of a book written about them.,1h 19min
Red Dirt Rising,"3,9",46%,Kathleen 'Bo' BobakJames Suttles,J. Amanda DavidsonGail Cauble Gurley,"Based on a true story about the early days of stock-car racing. A story of love in the time of moonshine as three of stock car racing's earliest heroes come of age to find escape from life's challenges on the track, ultimately shaping the future of their families and auto racing during the Fighting Forties.",1h 33min
Eva,"5,1",64%,Adrian Popovici,Steve AttridgeRadu Petrescu-AnesteAdrian Popovici,"During World War II, 16 year old Eva meets Tudor, a mysterious man who makes her feel like a woman, but whose periodic disappearances wreak havoc on their relationship.",1h 51min
Dirty Girl,"6,4",,Abe Sylvia,Abe Sylvia,"It's 1987 and Danielle, the high-school 'Dirty Girl', is running away. With her is chubby, gay Clarke, a bag of flour called Joa and a Walkman full of glorious '80s tunes.",1h 30min
You Have the Right to Remain Violent,"7,9",,Roberto Monticello,Doug KlozznerTed CampbellJoel A. Greenberg,Kids are forced to participate in a secret fight club run by town officials.,1h 28min
Nirahua Rickshawwala,"6,5",,Dinkar Kapoor,,,2h 45min
Nirahua No. 1,,,Subbarao,,,2h 30min
Kalamity,"4,5",0%,James M. Hausler,James M. Hausler,"After a recent breakup, Billy returns to his hometown to find something is not quite right with his best friend.",1h 38min
Ae Bhaujee Ke Sister,,,Dharmendra OhjaManoj Tiwari,,The story of a guy who eventually falls in love with the sister-in-law of his elder brother.,2h 34min
Code Blue,"4,7",47%,Arthur Alston,A. Lee Lee,"Depicts the lives of four childhood friends exposed to the grim elements of an inner-city life, where survival is most important. They enter the realms of peddling, corruption, and murder.",1h 33min
Carmen's Kiss,"3,2",,David Fairman,Barbara GornaDavid FairmanNiall Stewart,"A sex-trafficked girl, now turned business woman, seeks revenge. Can she outwit her kidnappers with the help of Joe, her ex cop lover?",1h 30min
O Sonho de Inacim - O Aprendiz do Padre Rolim,"8,8",,Eliézer Rolim,Eliézer Rolim,A boy from a small town goes back in time to find a priest who founded the place.,1h 40min
Pravosudie volkov,"6,0",,Vladimir Fatyanov,Vladimir Kunin,,1h 34min
Sajal Ehtidhar,"7,9",,Aïda Ben Aleya,Aïda Ben Aleya,,1h 20min
Blue Valentine,"7,3",86%,Derek Cianfrance,Derek CianfranceJoey CurtisCami Delavigne,La relación de un matrimonio a través de los años intercalando diferentes periodos.,1h 52min
Di renjie: Tong tian di guo,"6,6",,Hark Tsui,Chia-Lu ChangKuo-Fu ChenQianyu Lin,Un detective exiliado es reclutado para resolver una serie de misteriosas muertes que amenazan con retrasar la toma de posesión de la emperatriz Wu.,2h 3min
Pankh,"3,6",13%,Sudipto Chattopadhyay,Sudipto Chattopadhyay,"After maturing, a Bollywood child artiste longs to act as an adult.",1h 38min
Love Ranch,"5,6",12%,Taylor Hackford,Mark Jacobson,Un drama centrado en una pareja casada que abrió el primer burdel legal en Nevada.,1h 57min
Burlesque,"6,4",37%,Steve Antin,Steve Antin,"Ali Rose (Aguilera) es una chica de pueblo que se traslada a la gran ciudad y entra a trabajar como camarera en un club de variedades; pero, muy pronto, su objetivo será demostrarle a la encargada del local, Tess (Cher), que tiene talento para ser una de las chicas del espectáculo.",1h 59min
Morning Glory,"6,5",64%,Roger Michell,Aline Brosh McKenna,Una productora de televisión novata acepta el reto de resucitar un programa matinal en apuros con copresentadores enfrentados.,1h 47min
